tid,createUser,subject,cycleTime,tsql,tobox,lastExecuteDate,NextExecuteDate,corpid,corpsecret,yxbz,format,repeat,agentid,timeZone
102,zhaijainfeng,疑似手工上传和定时任务下载label并发的订单,1,"select tcsf.sales_order_number
from tbl_common_shipping_file tcsf with (nolock)
         left join tblOrders tbo with (nolock) on tbo.StoreID = tcsf.store_id and tbo.OrderNumber = tcsf.order_number
where tcsf.shipping_file_from = 'DRP_OFFLINE_UPLOAD'
  and exists(select tcsf2.file_id
             from tbl_common_shipping_file tcsf2 with (nolock)
             where tcsf2.sales_order_number = tcsf.sales_order_number
               and tcsf2.shipping_file_from = 'FROM_B2B')
  and tbo.OrderStatus not in (16, 32)
  and tcsf.create_date_time > getdate() - 7
  and tcsf.create_date_time < getdate() - 1",LiuChao|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
103,zhaijainfeng,创建时间最近但是订单很早之前下单的订单,6,"select N'销订:' + tbo.PayPalTxID + N', 店铺:' + cast(tbo.StoreID as varchar) + N', 订单状态:' +
       cast(tbo.OrderStatus as varchar) + N', 订单时间:' +
       FORMAT(tbo.OrderDate, 'yyyy-MM-dd HH:mm:ss') + N', 导入时间:' + FORMAT(tbo.createDate, 'yyyy-MM-dd HH:mm:ss')
from tblorders tbo with (nolock)
         left join tblShipments ts with (nolock) on tbo.StoreID = ts.StoreID and tbo.OrderNumber = ts.OrderNumber
where tbo.createDate >= getdate() - 5
  and tbo.OrderDate <= getdate() - 90
  and tbo.OrderStatus not in (16, 32)
  and ts.sorter_group_id is NULL",LiuChao|sujiawei|zhaijianfeng,2025-07-14 20:15:00.000,2025-07-15 02:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
104,zhaijainfeng,小众物流（非UPS和FedEx）取消成功的情况,1,"select distinct N'订单号: ' + toi.sales_order_number + N' 店铺名称: ' + te.DisplayName
from tbl_order_intercept toi with (nolock)
         left join tbl_item_code_attachment tica with (nolock) on toi.store_id = tica.store_id
    and toi.sales_order_number = tica.sales_order_number
         left join tblstoreExts te with (nolock) on te.StoreID = toi.store_id
where toi.intercept_result = 1
  and toi.create_date_time > GETDATE() - 1
  and toi.store_id = 402
  and tica.attachment_type = 'shipping_label_file'
  and source_carrier not in ('FEDEX', 'UPS')",LiuChao|sujiawei|zhaijianfeng|wanyuanqi|xiafei|LiZhenBiao|ChenHuiZhu,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
105,zhaijainfeng,分单到CANH4仓库的订单,2,"select distinct N'销售订单号: ' + tblo.PayPalTxID + N', 店铺名称:' + te.DisplayName
from tblOrders tblo with (nolock)
         join tblShipments tbls with (nolock) on tbls.StoreID = tblo.StoreID and tbls.OrderNumber = tblo.OrderNumber
         join tblstoreExts te with (nolock) on tblo.StoreID = te.StoreID
where tbls.AssignedTo in (133)
  and tblo.OrderStatus <> 16
  and tbls.Status in (1)",LiuChao|sujiawei|zhaijianfeng|yuebeibei|xiafei|LiZhenBiao|ChenHuiZhu,2025-07-15 00:15:00.000,2025-07-15 02:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
107,chenkailiang,WMS库存及库位数据未及时同步到DRP,1,"select twe.warehouseCode + ':' + convert(varchar(10), max(created_date_time), 120)
from tbl_wms_pick_zone_inventory wpi
         inner join tblWarehouseExts twe on twe.warehouseId = wpi.warehouse_id
where wpi.created_date_time < convert(varchar(10), GETDATE(), 120)
and wpi.created_date_time > GETDATE() -7
group by twe.warehouseCode",chenkailiang|lizhenbiao|liuchao,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"2,3,4"
108,zhaijainfeng,买label并发的发货单,1,"select shipment_id
from tbl_common_shipping_file with (nolock )
where create_date_time > '2024-04-15'
group by shipment_id
having count(shipment_id) > 1",LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
110,zhaijainfeng,超3天未发货订单,4,"select DISTINCT N'店铺:' + cast(tbo.StoreID as varchar(50)) + N', 销售订单号:' + tbo.PayPalTxID + N', 进系统时间:' +
               FORMAT(tbo.createDate, 'yyyy-MM-dd HH:mm:ss')
from tblOrders tbo with (nolock)
         left join tblOrderDetails tod with (nolock) on tbo.StoreID = tod.StoreID and tbo.OrderNumber = tod.OrderNumber
         left join tblShipments tbs with (nolock) on tod.ShipmentID = tbs.ShipmentID
where tbo.OrderStatus = 2
  and tbs.Status not in (2, 4)
  and tbs.shipping_ready_date < getdate() - 3",LiuChao|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 04:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
112,zhaijainfeng,一对多映射的订单,4,"select distinct N'销售订单号: ' + OrderID
from tblOrderTemps with(nolock)
where CreationDate > getdate() - 1
  and sku_mapping_json like '%true%'",LiuChao|sujiawei|zhaijianfeng|liniannian|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 04:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
113,liniannian,部分取消订单监控,1,"select sales_order_number as salesOrderNumber
from tbl_order_intercept toi with (nolock)
         join tblOrders tO2 with (nolock) on
    toi.sales_order_number = tO2.PayPalTxID and tO2.StoreID = toi.store_id
where tO2.OrderStatus != 16
  and toi.api_version = 2
  and toi.store_id <> 187
  and toi.data_source != 'DRP'
  and toi.deal_type = 1
  and toi.create_date_time between DATEADD(HOUR, -1,
                                           DATEADD(MINUTE, DATEDIFF(MINUTE, 0, GETDATE()) / 60 * 60, 0))
    and DATEADD(HOUR, DATEDIFF(HOUR, 0, GETDATE()), 0)
order by create_date_time desc;",LiuChao|sujiawei|chenkailiang|zhaijianfeng|liniannian,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
114,zhaijainfeng,订单分到已禁用仓库,4,"select DISTINCT N'销售订单号: ' + tor.PayPalTxID
from tblOrders tor with (nolock)
         join tblOrderDetails tod with (nolock)
              on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber
         join tblshipments tbls with (nolock) on tod.ShipmentID = tbls.ShipmentID
join tblWarehouseExts twe with (nolock) on twe.warehouseId = tbls.AssignedTo
where 1 = 1
  and twe.status = 0
  and tor.OrderStatus in (2)
  and tbls.Status = 1
  and tor.createDate >= '2024-01-20'",LiuChao|sujiawei|zhaijianfeng|liniannian|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 04:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
122,ckl,3PL Dropship Truck-FBA订单缺少pallet文件,1,"select sales_order_number
from tbl_extra_shipping_orders tso with (nolock )
where tso.store_id = 430
  and not exists(select 1
                 from tbl_extra_shipping_file tf with (nolock )
                 where tf.store_id = 430
                   and tf.extra_file_type = 'pallet_label_file')",LiuChao|ChenKaiLiang|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
123,zhaijainfeng,BuyerPickUp缺少shippingLabel,1,"select tc1.sales_order_number
from tbl_extra_shipping_file tc1 with(nolock)
where tc1.store_id = 256
  and tc1.create_date_time > GETDATE() - 1
  and tc1.extra_file_type = 'bol_file'
  and not exists(select 1
                 from tbl_extra_shipping_file tc2 with(nolock)
                 where tc1.shipping_order_id = tc2.shipping_order_id
                   and tc2.extra_file_type = 'shipping_label_file')",LiuChao|zhaijianfeng|liniannian|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
130,chenkailiang,需要补推包裹表、拣货表数据的批次id数据,1,"SELECT tblmdb.id
FROM tbl_merge_download_batch tblmdb WITH (NOLOCK)
WHERE 1 = 1
  and tblmdb.push_wms in (0, 1, 2)
  and tblmdb.create_date_time > GETDATE() - 3",LiuChao|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
